Row Labels;Sum of daily unique entries
13;169
14;110
15;126
16;141
17;160
18;158
19;118
20;112
21;86
22;25
15 November 2018;773
6;1
7;73
8;105
9;65
10;71
11;71
12;109
13;101
14;79
15;83
16;120
17;141
18;180
19;144
20;147
21;61
22;40
16 November 2018;797
6;3
7;64
8;86
9;89
10;62
11;88
12;150
13;131
14;84
15;87
16;139
17;171
18;162
19;126
20;110
21;51
22;11
17 November 2018;352
7;1
8;31
9;45
10;74
11;69
12;83
13;67
14;44
15;43
16;62
17;54
18;66
19;59
20;29
22;0
18 November 2018;350
7;2
8;15
9;29
10;41
11;48
12;48
13;53
14;59
15;69
16;80
17;85
18;82
19;56
20;21
19 November 2018;860
5;0
6;3
7;59
8;93
9;80
10;54
11;100
12;125
13;108
14;91
15;96
16;116
17;160
18;210
19;158
20;167
21;103
22;21
23;0
20 November 2018;841
6;7
7;70
8;110
9;102
10;71
11;76
12;127
13;104
14;101
15;106
16;126
17;147
18;168
19;154
20;151
21;69
22;35
21 November 2018;797
6;2
7;68
8;81
9;75
10;76
11;123
12;154
13;173
14;107
15;126
16;90
17;155
18;120
19;85
20;104
21;67
22;29
22 November 2018;773
6;5
7;50
8;89
9;54
10;69
11;74
12;118
13;105
14;82
15;88
16;121
17;165
18;200
19;162
20;123
21;63
22;33
23 November 2018;721
6;6
7;54
8;79
9;85
10;61
11;82
12;136
13;112
14;117
15;89
16;102
17;127
18;142
19;92
20;97
21;46
22;8
24 November 2018;378
7;4
8;30
9;45
10;64
11;58
12;60
13;50
14;47
15;63
16;76
17;76
18;94
19;64
20;28
25 November 2018;359
7;2
8;23
9;44
10;45
11;50
12;63
13;58
14;63
15;72
16;82
17;70
18;81
19;48
20;31
26 November 2018;823
6;11
7;54
8;101
9;77
10;49
11;88
12;130
13;120
14;89
15;99
16;124
17;161
18;208
19;139
20;150
21;73
22;8
27 November 2018;797
6;3
7;77
8;110
9;80
10;75
11;93
12;128
13;109
14;104
15;100
16;133
17;141
18;149
19;127
20;141
21;58
22;24
28 November 2018;762
6;6
7;76
8;82
9;75
10;77
11;95
12;148
13;175
14;110
15;134
16;122
17;143
18;130
19;80
20;60
21;48
22;8
29 November 2018;742
3;0
5;1
6;4
7;62
8;91
9;56
10;56
11;69
12;105
13;93
14;91
15;72
16;126
17;164
18;177
19;140
20;121
21;55
22;41
30 November 2018;718
0;0
6;7
7;55
8;87
9;84
10;65
11;72
12;120
13;122
14;92
15;76
16;121
17;158
18;148
19;110
20;95
21;32
22;25
01 December 2018;363
7;5
8;33
9;39
10;52
11;65
12;71
13;55
14;57
15;45
16;86
17;64
18;87
19;66
20;30
02 December 2018;331
7;2
8;16
9;38
10;55
11;41
12;58
13;63
14;53
15;54
16;61
17;70
18;69
19;72
20;16
03 December 2018;768
3;0
6;5
7;74
8;102
9;68
10;59
11;94
12;101
13;95
14;67
15;86
16;117
17;150
18;167
19;140
20;131
21;76
22;24
04 December 2018;788
6;10
7;61
8;95
9;87
10;76
11;73
12;108
13;105
14;127
15;114
16;126
17;131
18;144
19;135
20;146
21;71
22;22
05 December 2018;716
3;0
6;4
7;51
8;73
9;62
10;62
11;77
12;148
13;173
14;121
15;118
16;98
17;115
18;102
19;78
20;77
21;41
22;28
06 December 2018;683
6;1
7;52
8;81
9;52
10;49
11;75
12;112
13;113
14;93
15;87
16;119
17;134
18;151
19;111
20;102
21;65
22;16
07 December 2018;717
6;2
7;61
8;83
9;76
10;55
11;56
12;136
13;128
14;115
15;85
16;119
17;163
18;140
19;95
20;80
21;51
22;32
08 December 2018;340
3;0
7;2
8;34
9;36
10;60
11;62
12;69
13;61
14;51
15;54
16;79
17;54
18;60
19;47
20;30
09 December 2018;336
7;3
8;25
9;35
10;41
11;43
12;52
13;51
14;59
15;63
16;70
17;76
18;82
19;62
20;19
10 December 2018;697
6;3
7;68
8;95
9;73
10;40
11;71
12;104
13;118
14;100
15;94
16;109
17;132
18;159
19;119
20;100
21;53
22;16
11 December 2018;676
6;2
7;62
8;71
9;76
10;70
11;72
12;123
13;102
14;92
15;109
16;132
17;119
18;121
19;92
20;103
21;54
22;20
12 December 2018;631
6;8
7;45
8;65
9;57
10;53
11;79
12;156
13;148
14;105
15;99
16;97
17;101
18;93
19;67
20;70
21;41
22;24
13 December 2018;599
6;4
7;47
8;56
9;52
10;60
11;74
12;88
13;90
14;70
15;84
16;107
17;134
18;142
19;115
20;78
21;46
22;20
14 December 2018;561
6;5
7;48
8;54
9;64
10;51
11;75
12;130
13;112
14;115
15;78
16;91
17;103
18;102
19;71
20;46
21;36
22;15
15 December 2018;139
7;1
8;19
9;23
10;24
11;37
12;49
13;38
14;43
15;32
16;16
16 December 2018;148
7;2
8;17
9;25
10;31
11;30
12;46
13;48
14;51
15;57
16;5
17 December 2018;380
6;3
7;34
8;61
9;52
10;43
11;58
12;76
13;71
14;51
15;41
16;63
17;85
18;66
19;61
20;5
18 December 2018;388
6;2
7;42
8;67
9;57
10;33
11;39
12;80
13;76
14;69
15;55
16;70
17;72
18;95
19;40
20;16
19 December 2018;316
6;1
7;31
8;52
9;40
10;38
11;52
12;68
13;67
14;46
15;48
16;44
17;76
18;64
19;34
20;11
20 December 2018;273
6;5
7;30
8;50
9;42
10;35
11;33
12;62
13;59
14;41
15;21
16;44
17;47
18;50
19;35
20;6
21 December 2018;240
6;1
7;24
8;34
9;49
10;31
11;32
12;54
13;48
14;35
15;31
16;35
17;55
18;46
19;31
20;4
02 January 2019;278
6;2
7;22
8;35
9;26
10;28
11;41
12;59
13;59
14;47
15;46
16;48
17;57
18;67
19;47
20;9
03 January 2019;325
6;5
7;29
8;48
9;33
10;25
11;27
12;66
13;64
14;44
15;47
16;60
17;84
18;86
19;52
20;11
04 January 2019;354
3;0
6;4
7;25
8;45
9;40
10;37
11;52
12;62
13;61
14;51
15;45
16;61
17;69
18;99
19;74
20;11
05 January 2019;195
3;0
7;5
8;17
9;30
10;27
11;34
12;45
13;38
14;33
15;32
16;35
17;35
18;30
19;30
20;5
06 January 2019;257
7;6
8;22
9;27
10;39
11;51
12;48
13;42
14;45
15;54
16;56
17;47
18;51
19;38
20;3
07 January 2019;646
6;2
7;70
8;71
9;62
10;41
11;67
12;95
13;94
14;68
15;77
16;118
17;147
18;165
19;104
20;85
21;39
22;9
08 January 2019;746
6;3
7;72
8;79
9;69
10;53
11;58
12;52
13;121
14;99
15;62
16;114
17;134
18;181
19;148
20;112
21;47
22;5
09 January 2019;727
6;5
7;63
8;83
9;64
10;38
11;101
12;138
13;167
14;125
15;117
16;110
17;154
18;128
19;91
20;79
21;42
22;1
10 January 2019;729
6;7
7;55
8;87
9;69
10;56
11;91
12;108
13;110
14;81
15;76
16;115
17;174
18;163
19;152
20;114
21;61
22;14
11 January 2019;750
6;1
7;58
8;69
9;94
10;56
11;82
12;125
13;96
14;104
15;84
16;115
17;188
18;175
19;103
20;98
21;47
22;29
12 January 2019;379
7;2
8;31
9;39
10;56
11;65
12;79
13;81
14;53
15;54
16;81
17;65
18;99
19;67
20;8
13 January 2019;458
7;5
8;32
9;40
10;67
11;57
12;89
13;97
14;101
15;104
16;81
17;104
18;101
19;76
20;8
14 January 2019;954
6;2
7;73
8;114
9;104
10;68
11;98
12;141
13;147
14;105
15;116
16;151
17;193
18;216
19;180
20;153
21;91
22;4
15 January 2019;930
4;0
6;16
7;99
8;125
9;117
10;85
11;100
12;144
13;130
14;115
15;115
16;140
17;185
18;184
19;141
20;153
21;69
22;16
16 January 2019;892
6;4
7;65
8;101
9;74
10;78
11;123
12;175
13;178
14;138
15;156
16;134
17;151
18;159
19;132
20;103
21;58
22;18
17 January 2019;850
6;2
7;62
8;91
9;85
10;68
11;92
12;143
13;150
14;106
15;83
16;157
17;185
18;163
19;146
20;118
21;76
22;31
18 January 2019;890
6;5
7;79
8;104
9;85
10;72
11;124
12;163
13;158
14;135
15;104
16;149
17;177
18;153
19;125
20;116
21;56
22;28
19 January 2019;402
7;2
8;27
9;32
10;68
11;66
12;85
13;86
14;64
15;74
16;97
17;74
18;103
19;57
20;23
20 January 2019;476
7;6
8;33
9;48
10;74
11;60
12;69
13;106
14;109
15;96
16;74
17;86
18;92
19;84
20;28
21 January 2019;881
6;10
7;76
8;110
9;85
10;73
11;104
12;139
13;145
14;60
15;4
16;56
17;174
18;218
19;168
20;172
21;97
22;32
22 January 2019;890
6;3
7;85
8;107
9;101
10;67
11;69
12;137
13;139
14;125
15;108
16;147
17;175
18;166
19;161
20;136
21;77
22;19
23;0
23 January 2019;892
6;8
7;66
8;105
9;83
10;66
11;124
12;168
13;180
14;145
15;158
16;120
17;166
18;143
19;110
20;101
21;82
22;21
24 January 2019;824
6;4
7;59
8;88
9;72
10;75
11;92
12;135
13;122
14;90
15;91
16;118
17;158
18;190
19;156
20;123
21;83
22;36
25 January 2019;832
6;2
7;73
8;89
9;98
10;72
11;105
12;178
13;151
14;129
15;99
16;136
17;162
18;140
19;107
20;97
21;52
22;17
26 January 2019;371
7;1
8;20
9;36
10;46
11;68
12;70
13;69
14;72
15;72
16;63
17;38
18;70
19;48
20;26
27 January 2019;439
7;2
8;43
9;44
10;68
11;66
12;69
13;78
14;75
15;71
16;60
17;100
18;106
19;87
20;13
28 January 2019;801
6;2
7;75
8;65
9;57
10;37
11;56
12;90
13;85
14;55
15;83
16;111
17;137
18;138
19;120
20;105
21;43
22;5
29 January 2019;860
6;3
7;85
8;93
9;61
10;51
11;53
12;86
13;109
14;69
15;84
16;130
17;162
18;185
19;153
20;149
21;77
22;18
30 January 2019;864
6;4
7;72
8;91
9;76
10;82
11;125
12;176
13;201
14;134
15;138
16;133
17;177
18;142
19;100
20;79
21;48
22;4
31 January 2019;809
6;4
7;83
8;107
9;94
10;79
11;85
12;128
13;129
14;105
15;96
16;128
17;144
18;166
19;133
20;124
21;66
22;12
01 February 2019;752
6;2
7;64
8;92
9;87
10;66
11;100
12;147
13;138
14;126
15;88
16;98
17;129
18;140
19;103
20;108
21;61
22;25
02 February 2019;388
3;0
8;33
9;40
10;62
11;59
12;74
13;73
14;55
15;54
16;96
17;62
18;94
19;58
20;21
03 February 2019;412
7;1
8;39
9;47
10;52
11;59
12;79
13;86
14;68
15;64
16;70
17;99
18;90
19;72
20;29
04 February 2019;811
6;3
7;75
8;111
9;79
10;51
11;81
12;113
13;113
14;92
15;113
16;127
17;171
18;168
19;151
20;121
21;69
22;21
05 February 2019;851
6;2
7;91
8;111
9;97
10;74
11;75
12;133
13;134
14;110
15;124
16;136
17;153
18;180
19;132
20;117
21;61
22;14
06 February 2019;848
6;2
7;78
8;95
9;70
10;81
11;124
12;169
13;180
14;131
15;124
16;137
17;152
18;141
19;85
20;79
21;59
22;9
07 February 2019;781
6;3
7;72
8;95
9;68
10;67
11;98
12;92
13;118
14;88
15;75
16;119
17;153
18;160
19;133
20;120
21;75
22;23
08 February 2019;770
0;0
6;1
7;60
8;74
9;76
10;67
11;105
12;145
13;119
14;110
15;92
16;152
17;183
18;165
19;102
20;93
21;38
22;28
09 February 2019;399
7;2
8;27
9;59
10;59
11;76
12;79
13;76
14;53
15;53
16;76
17;65
18;96
19;79
20;14
10 February 2019;375
7;2
8;36
9;41
10;59
11;45
12;52
13;60
14;61
15;67
16;81
17;88
18;83
19;65
20;23
11 February 2019;854
6;1
7;78
8;101
9;78
10;60
11;87
12;127
13;128
14;122
15;109
16;116
17;173
18;187
19;163
20;135
21;76
22;18
12 February 2019;836
4;0
6;2
7;95
8;109
9;77
10;55
11;75
12;134
13;130
14;115
15;108
16;124
17;157
18;156
19;140
20;136
21;78
22;23
13 February 2019;801
6;2
7;64
8;81
9;78
10;79
11;113
12;168
13;183
14;127
15;117
16;98
17;117
18;134
19;106
20;96
21;64
22;24
14 February 2019;739
3;0
6;2
7;71
8;96
9;71
10;65
11;89
12;113
13;115
14;84
15;76
16;105
17;164
18;149
19;129
20;114
21;48
22;33
15 February 2019;768
6;3
7;70
8;86
9;95
10;72
11;111
12;139
13;139
14;105
15;102
16;129
17;173
18;131
19;105
20;79
21;55
22;3
16 February 2019;402
7;3
8;25
9;41
10;67
11;84
12;74
13;87
14;55
15;63
16;86
17;61
18;88
19;60
20;34
17 February 2019;373
7;3
8;32
9;30
10;55
11;55
12;62
13;56
14;59
15;65
16;64
17;86
18;96
19;61
20;35
18 February 2019;848
4;0
6;4
7;65
8;103
9;97
10;75
11;113
12;135
13;138
14;113
15;108
16;120
17;148
18;201
19;127
20;138
21;70
22;4
19 February 2019;803
6;4
7;90
8;100
9;87
10;45
11;73
12;132
13;154
14;116
15;104
16;129
17;128
18;167
19;127
20;124
21;59
22;13
20 February 2019;857
6;2
7;78
8;96
9;81
10;70
11;95
12;156
13;186
14;131
15;135
16;130
17;149
18;153
19;125
20;94
21;65
22;21
21 February 2019;717
6;3
7;66
8;78
9;72
10;51
11;77
12;126
13;122
14;75
15;76
16;122
17;152
18;156
19;114
20;108
21;50
22;15
23;0
22 February 2019;1008
6;2
7;78
8;95
9;138
10;134
11;179
12;209
13;241
14;198
15;143
16;148
17;159
18;149
19;112
20;82
21;51
22;25
23 February 2019;345
8;21
9;40
10;69
11;65
12;83
13;74
14;55
15;52
16;61
17;59
18;86
19;51
20;5
24 February 2019;373
1;0
7;1
8;35
9;42
10;63
11;65
12;71
13;56
14;54
15;63
16;62
17;75
18;83
19;64
20;25
25 February 2019;889
6;2
7;72
8;103
9;96
10;65
11;108
12;129
13;135
14;120
15;114
16;141
17;175
18;211
19;158
20;115
21;69
22;20
26 February 2019;864
6;3
7;86
8;116
9;94
10;79
11;86
12;149
13;117
14;106
15;101
16;152
17;155
18;159
19;136
20;138
21;84
22;8
27 February 2019;808
6;2
7;86
8;95
9;80
10;64
11;123
12;162
13;161
14;118
15;119
16;103
17;129
18;133
19;111
20;87
21;53
22;5
28 February 2019;744
6;4
7;64
8;100
9;68
10;58
11;80
12;96
13;109
14;83
15;78
16;102
17;157
18;188
19;139
20;107
21;56
22;15
01 March 2019;750
6;1
7;71
8;96
9;97
10;62
11;95
12;142
13;132
14;99
15;89
16;131
17;168
18;143
19;110
20;72
21;46
22;12
02 March 2019;397
7;3
8;35
9;62
10;58
11;76
12;57
13;75
14;72
15;66
16;64
17;69
18;91
19;63
20;2
03 March 2019;375
7;2
8;39
9;38
10;50
11;44
12;73
13;66
14;63
15;56
16;69
17;77
18;92
19;61
20;27
04 March 2019;847
6;1
7;89
8;112
9;94
10;67
11;99
12;129
13;132
14;101
15;96
16;112
17;159
18;202
19;151
20;138
21;65
22;26
05 March 2019;864
6;1
7;103
8;136
9;90
10;68
11;83
12;142
13;114
14;111
15;124
16;153
17;152
18;158
19;125
20;138
21;59
22;18
06 March 2019;763
6;2
7;77
8;79
9;55
10;67
11;102
12;170
13;168
14;109
15;117
16;101
17;129
18;124
19;103
20;94
21;52
22;4
07 March 2019;802
6;2
7;78
8;96
9;73
10;73
11;76
12;113
13;139
14;110
15;98
16;129
17;154
18;171
19;122
20;121
21;47
22;24
08 March 2019;782
6;4
7;79
8;100
9;95
10;71
11;95
12;137
13;130
14;112
15;76
16;123
17;165
18;155
19;124
20;85
21;43
22;15
09 March 2019;400
7;3
8;34
9;48
10;83
11;73
12;77
13;69
14;58
15;64
16;74
17;65
18;86
19;68
20;14
10 March 2019;407
7;3
8;41
9;52
10;73
11;58
12;76
13;84
14;61
15;75
16;68
17;74
18;75
19;73
20;7
11 March 2019;836
6;3
7;83
8;109
9;94
10;70
11;96
12;112
13;115
14;91
15;88
16;111
17;146
18;216
19;144
20;140
21;82
22;28
12 March 2019;802
6;2
7;71
8;91
9;81
10;74
11;81
12;149
13;126
14;121
15;102
16;119
17;157
18;158
19;118
20;115
21;70
22;14
13 March 2019;763
6;5
7;71
8;88
9;58
10;75
11;116
12;147
13;156
14;112
15;111
16;114
17;126
18;141
19;101
20;85
21;51
22;19
14 March 2019;751
6;3
7;78
8;83
9;60
10;69
11;67
12;128
13;126
14;71
15;87
16;106
17;148
18;171
19;132
20;127
21;53
22;30
15 March 2019;743
6;3
7;65
8;80
9;85
10;49
11;70
12;137
13;137
14;103
15;87
16;110
17;142
18;148
19;137
20;86
21;88
22;9
16 March 2019;370
7;2
8;32
9;52
10;64
11;69
12;79
13;59
14;32
15;42
16;65
17;67
18;80
19;81
20;36
17 March 2019;388
7;2
8;36
9;49
10;68
11;68
12;78
13;55
14;43
15;59
16;75
17;83
18;98
19;61
20;14
18 March 2019;765
6;2
7;66
8;92
9;65
10;44
11;95
12;107
13;113
14;88
15;84
16;110
17;160
18;191
19;125
20;132
21;70
22;17
19 March 2019;781
6;2
7;70
8;90
9;70
10;68
11;77
12;118
13;126
14;98
15;87
16;132
17;152
18;155
19;136
20;135
21;46
22;20
20 March 2019;637
6;5
7;64
8;79
9;67
10;74
11;93
12;119
13;131
14;96
15;102
16;102
17;102
18;88
19;71
20;77
21;39
22;3
21 March 2019;648
6;2
7;66
8;84
9;64
10;55
11;70
12;109
13;120
14;61
15;79
16;98
17;140
18;137
19;116
20;76
21;34
22;4
22 March 2019;623
6;2
7;55
8;89
9;73
10;45
11;62
12;123
13;130
14;98
15;71
16;104
17;114
18;124
19;87
20;82
21;38
22;5
23 March 2019;175
7;3
8;17
9;34
10;42
11;64
12;57
13;50
14;46
15;31
16;20
24 March 2019;205
7;2
8;29
9;33
10;34
11;50
12;63
13;67
14;64
15;64
16;14
25 March 2019;541
6;2
7;59
8;87
9;76
10;59
11;77
12;99
13;100
14;84
15;76
16;77
17;131
18;122
19;85
20;21
26 March 2019;561
3;0
6;3
7;69
8;68
9;68
10;46
11;53
12;120
13;111
14;80
15;77
16;100
17;103
18;124
19;101
20;24
27 March 2019;545
6;2
7;56
8;85
9;81
10;55
11;68
12;104
13;89
14;82
15;70
16;79
17;113
18;128
19;91
20;10
28 March 2019;542
6;3
7;67
8;92
9;52
10;52
11;60
12;97
13;97
14;67
15;68
16;87
17;102
18;137
19;95
20;30
29 March 2019;525
6;2
7;59
8;77
9;77
10;55
11;67
12;102
13;94
14;78
15;49
16;93
17;108
18;126
19;71
20;10
30 March 2019;182
7;2
8;23
9;39
10;50
11;56
12;52
13;52
14;51
15;46
16;15
31 March 2019;155
7;3
8;17
9;24
10;28
11;28
12;50
13;54
14;51
15;57
16;14
23;0
01 April 2019;546
4;0
6;3
7;48
8;66
9;67
10;37
11;74
12;90
13;103
14;79
15;78
16;88
17;160
18;147
19;106
20;10
02 April 2019;588
4;0
6;3
7;64
8;95
9;69
10;58
11;66
12;125
13;109
14;85
15;88
16;111
17;134
18;126
19;94
20;27
03 April 2019;536
6;3
7;51
8;59
9;51
10;62
11;62
12;99
13;108
14;65
15;75
16;70
17;136
18;150
19;92
20;28
04 April 2019;525
6;2
7;57
8;88
9;56
10;58
11;55
12;94
13;93
14;67
15;65
16;98
17;112
18;131
19;84
20;25
05 April 2019;520
6;4
7;55
8;61
9;81
10;51
11;68
12;92
13;73
14;73
15;60
16;82
17;116
18;131
19;95
20;23
06 April 2019;188
7;7
8;17
9;49
10;42
11;54
12;52
13;61
14;61
15;48
16;6
07 April 2019;156
7;2
8;14
9;13
10;24
11;34
12;49
13;59
14;48
15;62
16;14
08 April 2019;544
6;3
7;39
8;67
9;68
10;45
11;76
12;103
13;108
14;86
15;47
16;74
17;133
18;154
19;108
20;33
09 April 2019;513
6;3
7;53
8;69
9;59
10;58
11;56
12;91
13;106
14;76
15;52
16;85
17;105
18;141
19;84
20;14
10 April 2019;521
6;3
7;55
8;87
9;77
10;75
11;73
12;96
13;88
14;69
15;58
16;67
17;118
18;129
19;98
20;24
11 April 2019;506
6;2
7;45
8;72
9;50
10;53
11;64
12;83
13;107
14;66
15;67
16;64
17;100
18;136
19;105
20;29
12 April 2019;488
6;1
7;47
8;57
9;65
10;54
11;68
12;82
13;87
14;67
15;54
16;80
17;118
18;124
19;84
20;31
13 April 2019;175
7;3
8;23
9;36
10;44
11;40
12;50
13;46
14;57
15;50
16;18
14 April 2019;166
7;1
8;14
9;32
10;28
11;39
12;46
13;48
14;62
15;48
16;16
15 April 2019;514
6;3
7;47
8;68
9;69
10;45
11;63
12;76
13;87
14;70
15;74
16;85
17;127
18;134
19;92
20;30
16 April 2019;455
6;4
7;56
8;76
9;60
10;47
11;43
12;79
13;80
14;64
15;65
16;70
17;74
18;125
19;104
20;11
17 April 2019;503
6;3
7;63
8;82
9;56
10;59
11;68
12;86
13;83
14;62
15;72
16;82
17;119
18;139
19;88
20;28
21 April 2019;0
18;0
23 April 2019;0
12;0
24 April 2019;391
6;1
7;44
8;26
9;19
10;31
11;36
12;45
13;38
14;32
15;36
16;33
17;59
18;46
19;11
25 April 2019;363
6;2
7;46
8;27
9;28
10;16
11;23
12;56
13;38
14;28
15;27
16;42
17;46
18;36
19;17
26 April 2019;388
6;3
7;45
8;34
9;41
10;20
11;27
12;42
13;24
14;29
15;34
16;63
17;60
18;40
19;19
27 April 2019;236
7;1
8;42
9;28
10;31
11;26
12;26
13;21
14;35
15;32
16;15
17;13
18;25
19;4
23;0
28 April 2019;225
3;0
7;1
8;34
9;20
10;21
11;22
12;18
13;30
14;43
15;23
16;23
17;22
18;22
19;7
29 April 2019;628
6;2
7;61
8;74
9;72
10;42
11;59
12;114
13;106
14;81
15;83
16;109
17;132
18;142
19;105
20;70
21;28
22;10
30 April 2019;711
3;0
6;1
7;74
8;92
9;76
10;49
11;56
12;121
13;113
14;99
15;92
16;121
17;127
18;159
19;123
20;91
21;52
22;12
01 May 2019;674
6;1
7;63
8;79
9;71
10;70
11;92
12;133
13;131
14;80
15;95
16;96
17;137
18;133
19;94
20;63
21;36
22;8
02 May 2019;638
6;2
7;71
8;87
9;63
10;46
11;62
12;104
13;101
14;79
15;71
16;105
17;139
18;136
19;115
20;88
21;43
22;11
03 May 2019;635
6;2
7;54
8;69
9;70
10;46
11;56
12;107
13;99
14;75
15;81
16;131
17;164
18;143
19;91
20;63
21;23
22;19
04 May 2019;345
7;1
8;38
9;66
10;67
11;64
12;60
13;63
14;51
15;57
16;57
17;38
18;67
19;61
20;3
05 May 2019;338
7;3
8;39
9;38
10;50
11;45
12;55
13;55
14;44
15;55
16;63
17;66
18;83
19;67
20;29
06 May 2019;280
8;7
9;49
10;67
11;54
12;49
13;52
14;63
15;90
16;108
17;23
19;0
07 May 2019;707
6;2
7;56
8;74
9;75
10;49
11;49
12;123
13;112
14;97
15;88
16;112
17;142
18;171
19;151
20;87
21;38
22;1
08 May 2019;701
6;3
7;80
8;84
9;68
10;50
11;84
12;130
13;141
14;101
15;96
16;79
17;129
18;130
19;114
20;93
21;51
22;19
09 May 2019;660
6;3
7;64
8;87
9;53
10;41
11;66
12;102
13;91
14;66
15;88
16;114
17;140
18;146
19;132
20;108
21;39
22;15
10 May 2019;667
6;2
7;59
8;82
9;68
10;53
11;62
12;135
13;132
14;90
15;71
16;125
17;144
18;149
19;92
20;75
21;35
22;19
11 May 2019;335
7;1
8;26
9;40
10;53
11;61
12;55
13;59
14;48
15;38
16;50
17;71
18;97
19;86
20;7
12 May 2019;318
8;34
9;56
10;53
11;55
12;54
13;45
14;38
15;49
16;48
17;59
18;62
19;52
20;20
13 May 2019;724
6;2
7;69
8;95
9;81
10;35
11;72
12;127
13;105
14;91
15;99
16;122
17;158
18;144
19;111
20;86
21;54
22;6
14 May 2019;738
6;3
7;86
8;102
9;85
10;61
11;68
12;109
13;87
14;81
15;91
16;123
17;145
18;163
19;129
20;108
21;53
22;6
15 May 2019;633
6;3
7;71
8;92
9;72
10;66
11;77
12;121
13;111
14;78
15;83
16;86
17;115
18;123
19;86
20;62
21;52
22;7
16 May 2019;666
6;3
7;69
8;72
9;60
10;66
11;65
12;103
13;108
14;84
15;72
16;115
17;134
18;148
19;136
20;92
21;42
22;21
17 May 2019;657
6;2
7;57
8;73
9;77
10;54
11;73
12;138
13;107
14;83
15;80
16;113
17;128
18;130
19;104
20;86
21;44
22;5
18 May 2019;322
7;2
8;40
9;51
10;56
11;60
12;50
13;60
14;43
15;50
16;55
17;53
18;59
19;60
20;16
19 May 2019;305
7;2
8;33
9;31
10;46
11;42
12;57
13;62
14;43
15;41
16;52
17;66
18;84
19;56
20;16
20 May 2019;651
3;0
6;2
7;61
8;82
9;68
10;38
11;58
12;121
13;126
14;69
15;68
16;103
17;154
18;152
19;96
20;74
21;42
22;6
21 May 2019;668
6;1
7;84
8;82
9;74
10;50
11;53
12;120
13;89
14;102
15;90
16;119
17;146
18;131
19;99
20;87
21;58
22;16
22 May 2019;687
1;0
6;2
7;74
8;91
9;59
10;58
11;71
12;115
13;122
14;96
15;88
16;77
17;155
18;151
19;116
20;76
21;52
22;9
23 May 2019;610
6;2
7;60
8;68
9;55
10;51
11;61
12;106
13;95
14;84
15;77
16;112
17;139
18;123
19;108
20;88
21;41
22;10
23;1
24 May 2019;634
5;1
6;2
7;54
8;67
9;60
10;48
11;62
12;124
13;118
14;73
15;75
16;100
17;163
18;126
19;102
20;79
21;49
22;21
25 May 2019;326
7;2
8;41
9;53
10;70
11;63
12;74
13;54
14;36
15;40
16;54
17;50
18;64
19;54
20;19
26 May 2019;291
8;43
9;34
10;44
11;43
12;59
13;58
14;47
15;51
16;57
17;51
18;56
19;46
20;10
27 May 2019;264
8;7
9;43
10;41
11;56
12;57
13;66
14;64
15;86
16;85
17;21
28 May 2019;667
1;0
6;2
7;78
8;107
9;81
10;50
11;53
12;113
13;84
14;96
15;87
16;114
17;112
18;147
19;116
20;98
21;59
22;7
29 May 2019;705
6;2
7;66
8;99
9;64
10;66
11;96
12;167
13;145
14;107
15;108
16;104
17;135
18;129
19;83
20;49
21;41
22;4
30 May 2019;630
3;0
6;4
7;58
8;72
9;59
10;56
11;65
12;101
13;105
14;86
15;80
16;114
17;110
18;133
19;114
20;95
21;40
22;8
31 May 2019;626
6;1
7;65
8;85
9;72
10;38
11;72
12;142
13;120
14;94
15;74
16;92
17;131
18;121
19;95
20;74
21;36
22;10
01 June 2019;296
7;1
8;33
9;46
10;58
11;57
12;58
13;39
14;38
15;48
16;42
17;58
18;62
19;57
20;4
02 June 2019;310
7;2
8;38
9;45
10;41
11;49
12;62
13;61
14;48
15;54
16;47
17;57
18;57
19;53
20;16
03 June 2019;654
6;1
7;55
8;71
9;79
10;47
11;57
12;115
13;114
14;102
15;72
16;101
17;129
18;135
19;115
20;80
21;43
22;15
04 June 2019;718
6;3
7;83
8;87
9;97
10;49
11;60
12;114
13;98
14;95
15;73
16;119
17;144
18;170
19;127
20;92
21;53
22;10
05 June 2019;641
6;1
7;52
8;70
9;54
10;61
11;71
12;130
13;128
14;91
15;82
16;90
17;119
18;140
19;100
20;69
21;36
22;15
06 June 2019;591
3;0
6;2
7;57
8;67
9;53
10;65
11;63
12;104
13;76
14;58
15;62
16;104
17;114
18;109
19;130
20;89
21;53
22;12
07 June 2019;585
6;3
7;58
8;59
9;64
10;46
11;61
12;112
13;104
14;83
15;66
16;112
17;122
18;120
19;88
20;57
21;40
22;13
23;0
08 June 2019;308
3;0
7;1
8;23
9;25
10;38
11;50
12;65
13;52
14;53
15;56
16;62
17;52
18;65
19;61
20;19
09 June 2019;329
0;0
3;0
8;28
9;38
10;60
11;58
12;64
13;69
14;56
15;73
16;68
17;53
18;67
19;49
20;6
10 June 2019;627
7;44
8;74
9;68
10;50
11;65
12;121
13;96
14;83
15;73
16;92
17;133
18;150
19;110
20;93
21;56
22;5
11 June 2019;707
6;2
7;69
8;73
9;75
10;52
11;55
12;114
13;118
14;100
15;111
16;119
17;124
18;160
19;131
20;98
21;53
22;7
12 June 2019;660
6;1
7;51
8;71
9;55
10;69
11;80
12;131
13;108
14;92
15;105
16;111
17;150
18;145
19;96
20;69
21;43
22;11
13 June 2019;600
4;0
6;0
7;51
8;66
9;50
10;52
11;64
